"hc_x","hc_y","next_event_type","event_and_next_event_type","event_description","batter_name","pitcher_name","outs","balls","strikes","hit_trajectory","fld_score","bat_score","post_fld_score","post_bat_score","is_hit_into_play","is_hit_into_play_basehit","bat_side","pitch_hand","sport_id","game_pk","at_bat_number","event_inning","top_inning_sw","game_date"
"138.03","75.69","field_out","field_out","Marcus Chiu flies out to center fielder Jordyn Adams.  ","Marcus Chiu","Travis Herrin",0,0,0,"fly_ball",5,1,5,1,1,0,"R","R",13,"576754.00",39,5,"N","2019-08-31"
"207.14","139.24","field_out","field_out","Brayan Morales flies out to right fielder Spencer Griffin in foul territory.  ","Brayan Morales","Austin Krzeminski",0,0,0,"fly_ball",5,1,5,1,1,0,"R","R",13,"576754.00",60,8,"N","2019-08-31"
"44.29","95.55","double","double","Brandon Montgomery doubles (5) on a sharp ground ball to left fielder Torii Hunter.  ","Brandon Montgomery","Travis Herrin",1,1,0,"ground_ball",5,1,5,1,1,1,"R","R",13,"576754.00",40,5,"N","2019-08-31"
"144.38","164.66","field_out","field_out","Jeren Kendall pops out to second baseman Leonardo Rivas.  ","Jeren Kendall","Austin Krzeminski",2,0,0,"popup",5,1,5,1,1,0,"L","R",13,"576754.00",62,8,"N","2019-08-31"
"108.64","174.99","field_out","field_out","Jacob Amaya grounds out, third baseman Zane Gurwitz to first baseman Devin Davis.  ","Jacob Amaya","Travis Herrin",1,0,0,"ground_ball",1,0,1,0,1,0,"R","R",13,"576754.00",6,1,"N","2019-08-31"
"133.26","87.61","single","single","Tre Todd singles on a line drive to center fielder Jordyn Adams.  ","Tre Todd","Travis Herrin",0,3,2,"line_drive",1,0,1,0,1,1,"L","R",13,"576754.00",18,3,"N","2019-08-31"
,,,"strikeout","Starling Heredia strikes out swinging.  ","Starling Heredia","Travis Herrin",2,2,2,,5,1,5,1,0,0,"R","R",13,"576754.00",50,6,"N","2019-08-31"
"116.58","155.92","field_out","field_out","Brandon Montgomery grounds out, shortstop Michael Stefanic to first baseman Devin Davis.   Tre Todd scores.  ","Brandon Montgomery","Travis Herrin",0,2,0,"ground_ball",1,0,1,1,1,0,"R","R",13,"576754.00",20,3,"N","2019-08-31"
"189.66","97.93","field_out","field_out","Jacob Amaya flies out to right fielder Spencer Griffin.  ","Jacob Amaya","Travis Herrin",2,0,0,"fly_ball",1,1,1,1,1,0,"R","R",13,"576754.00",22,3,"N","2019-08-31"
"108.64","180.55","force_out","force_out","Starling Heredia grounds into a force out, third baseman Zane Gurwitz to second baseman Leonardo Rivas.   Deacon Liput out at 2nd.    Starling Heredia to 1st.  ","Starling Heredia","Austin Krzeminski",1,2,2,"ground_ball",5,1,5,1,1,0,"R","R",13,"576754.00",69,9,"N","2019-08-31"
,,,"strikeout","Jacob Amaya strikes out swinging.  ","Jacob Amaya","Austin Krzeminski",1,1,2,,5,1,5,1,0,0,"R","R",13,"576754.00",61,8,"N","2019-08-31"
"110.23","171.81","field_out","field_out","Jacob Amaya grounds out, third baseman Zane Gurwitz to first baseman Devin Davis.  ","Jacob Amaya","Travis Herrin",2,1,0,"ground_ball",5,1,5,1,1,0,"R","R",13,"576754.00",42,5,"N","2019-08-31"
"149.15","159.90","field_out","field_out","Jeren Kendall grounds out, second baseman Leonardo Rivas to first baseman Devin Davis.  ","Jeren Kendall","Travis Herrin",0,0,0,"ground_ball",5,1,5,1,1,0,"L","R",13,"576754.00",47,6,"N","2019-08-31"
,,,"strikeout","Jeren Kendall strikes out swinging.  ","Jeren Kendall","Travis Herrin",2,2,2,,1,0,1,0,0,0,"L","R",13,"576754.00",7,1,"N","2019-08-31"
,,,"strikeout","Deacon Liput strikes out swinging.  ","Deacon Liput","Travis Herrin",1,2,2,,5,1,5,1,0,0,"L","R",13,"576754.00",49,6,"N","2019-08-31"
,,,"walk","Deacon Liput walks.  ","Deacon Liput","Austin Krzeminski",1,3,2,,5,1,5,1,0,0,"L","R",13,"576754.00",68,9,"N","2019-08-31"
,,,"strikeout","Deacon Liput called out on strikes.  ","Deacon Liput","Travis Herrin",1,2,2,,1,0,1,0,0,0,"L","R",13,"576754.00",13,2,"N","2019-08-31"
"114.20","174.99","force_out","force_out","Deacon Liput grounds into a force out, third baseman Zane Gurwitz to shortstop Michael Stefanic.   Miguel Vargas out at 2nd.    Deacon Liput to 1st.  ","Deacon Liput","Travis Herrin",1,0,0,"ground_ball",5,1,5,1,1,0,"L","R",13,"576754.00",33,4,"N","2019-08-31"
,,,"strikeout","Tre Todd strikes out swinging, catcher Alexis Olmeda to first baseman Devin Davis.  ","Tre Todd","Travis Herrin",0,2,2,,5,1,5,1,0,0,"L","R",13,"576754.00",54,7,"N","2019-08-31"
,,,"strikeout","Tre Todd strikes out swinging.  ","Tre Todd","Travis Herrin",2,3,2,,5,1,5,1,0,0,"L","R",13,"576754.00",35,4,"N","2019-08-31"
